symptom,disease
"I’ve had a cold for a few days, and now my nose is so blocked I can barely breathe. I’ve tried a decongestant, but it’s not working that well. How long should I use the saline spray? Should I stay inside to avoid getting worse?",common cold
"I have some red, itchy patches on my skin. Mainly on my elbows and knees. About two months. Yes, both trigger it. Yes, my mom had it.",psoriasis
"I’ve been having joint pain and stiffness in my fingers and toes. Yes, some of my joints are a little red, and there’s some warmth around them too. How is rheumatoid arthritis treated?",arthritis
"I feel more anxious after taking my new prescription. No, just the anxiety. I’ll do that. Thank you.",drug reaction
"I’ve been feeling constant discomfort in my lower abdomen, and it’s painful when I go to the bathroom. No, just the pain and discomfort. For a few days now.",urinary tract infection
I’ve heard that acupuncture can help with neck pain. Is it effective for cervical spondylosis? I’ve never tried acupuncture before. I’ll ask my doctor if it’s a good option for me.,cervical spondylosis
"I feel itchy and have red bumps on my skin. Yes, they’re blistering. Yes, I have a mild fever.",chicken pox
"My urine is dark, and my skin is turning yellow. About five days ago. No fever, but I feel itchy and my stomach feels bloated.",jaundice
"My nose is constantly running, and I’m sneezing a lot. Yes, I have a scratchy throat, but no cough yet. Can I use a decongestant? How soon should I start feeling better?",common cold
"I have some swollen veins on my legs that are visible. For the past couple of months. Yes, they get sore, especially after standing. Yes, my mom has them.",varicose veins
"My baby’s skin is yellow, and she seems sleepier than usual. Yesterday. She’s 3 days old. She’s feeding less and not wetting as many diapers.",jaundice
"I noticed some red, swollen bumps that have become blisters. Yes, they’re oozing a yellowish fluid and crusting.",impetigo
"I’ve been having recurrent fever episodes and feeling nauseous. It started a week ago, and the fever comes back every second day, usually at night. Yes, I get chills before the fever, then sweat a lot when it breaks. Yes, I was in a rural part of Africa last month.",malaria
"I’ve been feeling feverish and getting chills, followed by heavy sweating. The fever comes every second day, and it usually lasts for a few hours. Yes, I’ve been having intense headaches, and sometimes I feel nauseous. Yes, I was in a malaria-prone region last month.",malaria
"I feel a lot of pressure in my bladder, and it’s painful when I urinate. No, just the pressure and pain. For about three days.",urinary tract infection
"I’ve been dealing with red, itchy patches on my elbows and knees. Yes, they are flaky and dry. It started about three months ago. Yes, both seem to trigger it. Yes, my father has it.",psoriasis
"I noticed a rash with fluid-filled blisters that have crusted. Yes, they are. They’re mostly itchy.",impetigo
"I’ve been feeling very tired lately, and I’m not eating much because my stomach hurts. It’s been going on for a couple of weeks now. I think I need to. I’ll make an appointment. Thanks for the advice!",peptic ulcer disease
"I’ve been using my inhaler more frequently, but it’s still hard to breathe at times. No, I haven’t seen my doctor in a while. What if I need a stronger inhaler?",bronchial asthma
"I’ve been having a fever and stomach pain. For about five days now. Yes, I’ve had diarrhea. Yes, I was in Southeast Asia.",typhoid
"I’m urinating a lot, but only a small amount comes out each time, and it’s painful. No blood, just some cloudiness. For about two days now.",urinary tract infection
I’ve been having a headache along with my neck pain. Could they be connected? The pain feels like it’s coming from the back of my head. I’ll mention this to my doctor.,cervical spondylosis
"My fever spikes in the evening, and I feel drained afterward. Yes, it happens every other evening, with chills first and sweating after. Yes, I just returned from a village stay.",malaria
"I’ve noticed veins on my legs that are swollen and painful. For about two months. Yes, they get swollen, and they hurt. Yes, my dad has them.",varicose veins
"I’ve been urinating frequently, and it hurts each time. For a couple of days now. No, just pain and urgency.",urinary tract infection
How can I tell if my neck pain is due to cervical spondylosis or just regular muscle strain? My pain has been ongoing for a few months. I’ll see my doctor soon.,cervical spondylosis
I’m noticing that I have blurred vision after taking my medication. I’m on a new antihypertensive medication. I’ll talk to them about it. Thanks!,drug reaction
"I’ve noticed black stools recently, and I’ve been feeling weak and dizzy. Yes, I feel weak and dizzy often, especially after meals. I’ll go to the doctor immediately. Thanks for the warning.",peptic ulcer disease
Is surgery ever needed for cervical spondylosis? I hope it doesn’t come to that. I’ll focus on non-surgical treatments.,cervical spondylosis
"My skin looks yellow, and I’ve lost my appetite. About a week ago. My urine is darker, and I feel exhausted.",jaundice
"I have white patches on my tongue that don’t go away. No, they don’t wipe off and feel rough. Yes, I finished a course of antibiotics last week. Should I avoid certain foods?",fungal infection
"I’ve been feeling very tired, and my skin looks yellow. About four days ago. I had a fever last week and lost my appetite.",jaundice
"I’ve been sneezing a lot, and my throat is really sore. It’s mostly my throat, but I’m also a little congested. Should I avoid cold drinks? How long will the sore throat last?",common cold
"I’ve been coughing a lot, and now I have sharp chest pain. Yes, I’m out of breath just from walking short distances. Could this be something else?",pneumonia
"I have visible veins on my legs that are swollen. Mostly on my calves and ankles. Yes, they get sore after a long day of standing. About two months. Yes, my mother has them.",varicose veins
"My skin is super sensitive right now, and I’ve been getting rashes in certain spots. Yes, I started using a new moisturizer. I’ll switch to something more sensitive. Thanks for the tip!",allergy
"I’m feeling extremely tired, and I’ve had a fever for the past few days. The fever is pretty high, and I feel cold and shaky before it starts, then sweat a lot after. The fever started four days ago and comes back every other day. Yes, I was in a remote part of Africa recently.",malaria
"I’ve been feeling exhausted all the time, even after getting enough sleep. Is this related to diabetes? It’s mostly in the afternoon, and I find it hard to stay alert. Yes, I’ve been thirsty all the time and going to the bathroom a lot. I’ll get my blood sugar checked. Thanks for your help.",diabetes
"I’ve noticed some bulging veins on my legs. For about three months. Yes, they get swollen and sometimes hurt. Yes, my grandmother had them.",varicose veins
"I’ve been feeling an urgent need to urinate, and it’s been very painful. No blood, but my urine is a bit darker than usual. About three days now.",urinary tract infection
"I have blisters on my skin, and they itch a lot. They’re on my chest, back, and face. Yes, I’ve had all of those symptoms.",chicken pox
"I’ve had a fever for a few days, and now I’m feeling very weak. Yes, I get out of breath quickly, even when I’m resting. What should I expect at the doctor’s office?",pneumonia
"My baby’s skin has a yellow tint. She’s three days old. I noticed it yesterday. Feeding is okay, but her stools seem a bit unusual.",jaundice
"My stomach always feels upset after I eat, and I get a burning feeling in my chest. Sometimes, I feel like food comes back up. I’ll keep track of what I eat. Thanks for the suggestion!",gastroesophageal reflux disease
"I’ve been having pain in my stomach and sometimes feel lightheaded, especially after meals. My stool has been a bit darker recently, and I’ve felt a little dizzy at times. I’ll go to the doctor today. Thank you for pointing that out.",peptic ulcer disease
"I’ve had a cold for three days, and now I’m starting to get some congestion in my chest. No wheezing, just a cough and a heavy feeling in my chest. Can I take anything for the chest congestion? How long will the chest congestion last?",common cold
"I’ve noticed some red spots on my skin. They’re raised and seem to be spreading. Yes, they’re really itchy. Yes, I’ve had a low fever for a couple of days.",chicken pox
"I’ve been using benzoyl peroxide for my acne, but it’s making my skin really dry and irritated. No, I’ve been avoiding moisturizer because I thought it might make the acne worse. How often should I apply the moisturizer?",acne
"I have red, itchy spots on my skin. Yes, they are. Yes, I have a low-grade fever.",chicken pox
"I’ve been dealing with persistent pain in my fingers, and they’re feeling quite stiff in the mornings. Yes, my fingers look slightly swollen, and they feel stiff throughout the day. Are there any medications that can help with this?",arthritis
"I’ve been feeling lightheaded and dizzy, especially after meals. Could this be related to diabetes? Yes, I sometimes feel weak and shaky too. Yes, I’ve been drinking a lot more water and have blurry vision at times. I’ll check my blood sugar levels and see my doctor. Thanks!",diabetes
"I feel nauseous, and my skin looks yellow. About four days ago. No fever, but my urine is darker, and my stools are pale.",jaundice
"I’ve been feeling tired and weak lately, and my stomach has been hurting. I’ve been eating less because of the pain. I’ll see a doctor soon.",peptic ulcer disease
"I’ve been trying to cut down on my sodium intake, but I’m not sure how to start. That makes sense. I eat a lot of takeout. I’ll give that a try.",hypertension
"I have red, scaly patches on my skin. Mainly on my elbows and knees. Yes, they itch a lot, and sometimes they sting. About two months. Yes, both seem to trigger it. Yes, my father had it.",psoriasis
I have some red sores on my skin that are crusting and yellow. They’re mostly itchy.,impetigo
"I’ve been having pain and stiffness in my lower back, and it’s making it hard to bend. It’s mostly in my lower back, but sometimes I feel a dull ache down my legs. How can I manage the pain in the meantime?",arthritis
"My acne is worse around my mouth and chin, especially during my period. I’ve been using benzoyl peroxide, but it doesn’t seem to help much. Are those treatments safe long-term?",acne
"I’ve been having pain and stiffness in my knees, especially when I bend them. It’s worse after sitting for long periods, but I feel it when I walk too. What can I do to help with the stiffness in the meantime?",arthritis
"I’ve been experiencing joint pain in my knees, and it’s been hard to walk lately. It’s worse after walking or standing for a long time. Yes, there’s some swelling, and the knees feel stiff.",arthritis
"I’ve been feeling a little off lately—itchy throat, watery eyes, and sneezing. I’ve been cleaning the house a lot, so maybe it’s the dust. I’ll try that. What about my eyes? They’ve been watering non-stop.",allergy
"I feel nauseous and uncomfortable after I eat. Yes, I often feel bloated and get heartburn. I’ll try those. Thanks for the advice!",gastroesophageal reflux disease
"I’m having a sore throat and cough after meals. Yes, I get heartburn regularly. I’ll try that. Thanks!",gastroesophageal reflux disease
"I feel like I’m constantly fatigued because of my migraines. Is that common? I’ve been so exhausted lately, even on days when I don’t have a migraine. I’ll focus on getting more rest and stress relief.",migraine
"I feel pressure in my bladder and there’s pain every time I urinate. Yes, I’ve been drinking water, but it doesn’t help. About two days.",urinary tract infection
"I’ve noticed some veins on my legs that are bulging and look blue. For a couple of months. Yes, they’re swollen and sometimes hurt. Yes, my mom had them.",varicose veins
"I have cracked, itchy skin on my heels. It’s thick and peels in some areas. I often walk barefoot at home. Should I wear socks indoors?",fungal infection
"I’ve noticed that my heart is racing after I started this new medication. No, just the fast heartbeat. I’ll definitely call my doctor. Thanks for the advice.",drug reaction
"I’m breaking out in itchy red bumps. Yes, some of them are blistering. Yes, I’ve had a mild fever and feel weak.",chicken pox
"My nails are turning brown and feel brittle. Yes, one nail has started to lift slightly. I often wear work boots for long hours. Will I need to stop wearing boots?",fungal infection
"I feel bloated and have trouble swallowing sometimes after eating. Yes, I get heartburn often. I’ll work on that. Thanks for the tips!",gastroesophageal reflux disease
"I have a high fever, and my body is aching. Yes, my eyes hurt, and my joints are aching. Yes, I have a rash, and I’ve had some nosebleeds.",dengue
"I’ve been feeling very tired recently, even after getting a full night’s sleep. Could it be related to diabetes? Yes, I’m always thirsty and seem to be using the bathroom a lot. I’ll make sure to check it. Thanks for your advice!",diabetes
"I’ve been getting constant headaches after taking my new medication. They’re worse during the day, especially when I’m at work. I’ll try that. Thanks for the advice!",drug reaction
"My elbows have been really painful, and I’m noticing some swelling. Yes, it’s much worse when I try to lift or carry things. What can I do to relieve the pain in the meantime?",arthritis
"There’s a flaky, white buildup on the soles of my feet. Yes, it’s itchy and smells bad after a long day. Yes, I use the gym showers regularly. Should I stop using the showers?",fungal infection
"I’ve got some blue veins on my legs that look swollen. It’s been a few months. Yes, they hurt sometimes, especially after standing for a while. Yes, my aunt has them.",varicose veins
"I’ve noticed dry patches on my skin that are red and itchy. Mostly on my elbows and knees. I noticed them about a month ago. Yes, stress and cold weather seem to make it worse. Yes, my mother had it.",psoriasis
I’ve noticed a metallic taste in my mouth since starting my new medication. It lingers for hours after I take the medication. I’ll try drinking more water. Thanks!,drug reaction
"I’ve been running a fever, and I’ve been feeling weak and nauseous. It comes every two days, and it lasts for a few hours. Yes, I feel chills before the fever and sweat a lot once it breaks. Yes, I was in a rural part of Africa last month.",malaria
"I’ve had a recurring fever and muscle aches. For a week, and the fever seems to spike every other day. Yes, both, and I feel extremely tired afterward. Yes, I was in a rural area for work.",malaria
"I’ve been feeling nauseous after meals. Yes, I’ve had some heartburn too. I’m trying to, but sometimes I still get symptoms. I’ll start keeping a food journal.",gastroesophageal reflux disease
"I sometimes feel a “warning” before my migraine starts, like a slight headache or visual changes. Is this normal? I usually get the visual changes first. I’ll be more mindful of the early symptoms.",migraine
"I’ve had a fever and stomach cramps. Yes, I’ve had diarrhea. Yes, I was in India.",typhoid
"I’ve been feeling really weak and feverish. Yes, my muscles and joints are sore. Yes, I have a rash and had a small nosebleed.",dengue
"I feel very tired, and my eyes look yellow. A few days ago. Yes, nausea and itching, but no fever.",jaundice
"I’m having a persistent cough, and it’s been getting worse. Yes, I feel short of breath, and my chest hurts when I cough. What might the doctor do to treat it?",pneumonia
"My acne gets worse whenever I’m stressed. I’ve tried yoga, but I still get breakouts. Should I see a dermatologist if stress is a main cause?",acne
"I feel like I’m always congested, especially at night. Yes, it’s worse at night when I’m in bed.",allergy
"I’m constantly bloated after meals, and my stomach hurts, especially at night. Yes, I sometimes feel acid coming up into my throat, and it makes me cough. I’ll make an appointment with my doctor. Thanks for the help.",peptic ulcer disease
"I’ve been getting a sore throat and coughing a lot, especially in the mornings. Yes, I get heartburn a lot. I’ll work on it. Thanks!",gastroesophageal reflux disease
"I’ve had hemorrhoids before, but this time they seem worse—bleeding, itching, and swelling. They’re pretty consistent, especially the swelling and itching. Can hemorrhoids go away on their own?",dimorphic hemorrhoids
"My asthma is under control, but I still sometimes get a cough. Should I be worried? It usually happens in the morning. I’ll mention it to my doctor at my next visit.",bronchial asthma
"I’ve been urinating a lot more than usual, especially during the night. Could this be diabetes? Yes, I’m constantly thirsty and feeling really tired. I’ll make an appointment soon. Thanks!",diabetes
"I’ve been feeling tired, and my skin has a yellowish tint. About a week ago. My urine is darker, and my stools are lighter. I had a fever last month, but no pain.",jaundice
"My cold symptoms started with a sore throat, and now I’m feeling really fatigued. Yes, I’m congested, and I have a dry cough. Should I be concerned about the fatigue? Can I work with all these symptoms?",common cold
"I feel weak, and my fever is not going away. Yes, my muscles and joints are aching. Yes, I have a rash, and my nose has been bleeding.",dengue
"I’ve been feeling a bit dizzy and itchy after being outside for a while. Yes, I was in the park and near a lot of flowers. I’ll take one before going out next time. Should I avoid parks altogether?",allergy
"I often feel nauseous during a migraine. Is there anything I can do to help? I’ve tried ginger tea before, and it helped a little. I’ll keep that in mind.",migraine
"I have a fever, and my body is aching. Yes, both my eyes and joints hurt. Yes, I have a rash, and I’ve had a few nosebleeds.",dengue
"I’ve noticed some red, itchy patches on my elbows and knees. For about a month. Yes, they sting when I scratch them. Yes, both. Yes, my dad had it.",psoriasis
"My ankles hurt, especially after walking for long periods. Yes, they swell a little, and they feel tender when I touch them. Would wearing ankle supports help with the pain?",arthritis
I’ve been feeling really thirsty all the time since I started my new medication. I’m also going to the bathroom more often. I’ll make an appointment with them. Thanks for the help.,drug reaction
"My toddler’s skin has turned yellow, and he’s been irritable. For two days now. No fever, but he’s eating less.",jaundice
I’ve been experiencing vivid dreams and sleep disturbances since starting my new medication. I’m waking up a lot during the night and having strange dreams. I’ll ask my doctor about it. Thanks for the tips.,drug reaction
"I keep getting itchy rashes on my arms and legs. Yes, I started using a new lotion.",allergy
"I’m experiencing pain in my lower back and hips, especially when walking or bending. It’s been going on for a couple of months, and it’s been consistent. Can physical therapy help with this pain?",arthritis
"I’ve been noticing red, itchy patches on my skin. Mainly on my elbows and knees. They feel sore and very itchy. About three months. Yes, both make it worse. Yes, my aunt has it.",psoriasis
"My blood pressure fluctuates a lot, sometimes it's normal and other times it’s high. Is that common? I’ll start tracking it more consistently. I’ll get a good monitor and take regular readings.",hypertension
"I have stomach cramps and a fever. About five days now. Yes, I’ve had diarrhea. Yes, I visited India last month.",typhoid
"I’ve been waking up with a scratchy throat and watery eyes every day this week. It’s usually worse in the mornings, but it gets better throughout the day. I’ll give that a try!",allergy
Can a lack of physical activity make my blood pressure worse? I’ve been sedentary lately. I’ll start walking every day.,hypertension
"I have some yellow crusty patches on my skin. Yes, they’re around my nose. They’re mostly itchy.",impetigo
"I’ve been feeling really thirsty lately and have to urinate all the time. Could it be diabetes? Yes, I’ve been feeling more tired than usual too. I’ll schedule an appointment soon. Thanks for the advice!",diabetes
I feel like I’m more sensitive to sunlight after starting a new medication. It’s a new antibiotic I’ve been prescribed. I’ll be more careful in the sun and talk to my doctor.,drug reaction
"I’ve been feeling tired, and my eyes are watering. Yes, I’ve been near my cat.",allergy
"I’ve noticed some blood after wiping, and it’s making me nervous. Yes, there’s swelling, and it’s a little painful when I pass stool.",dimorphic hemorrhoids
"I’ve been getting a fever at night and feeling really weak. Yes, I get chills before the fever, and then I sweat a lot afterward. For the past week, the fever seems to come back every second night. Yes, I went to a malaria-endemic area a couple of weeks ago.",malaria
"I’ve been sweating profusely and have muscle aches with fever. About six days, and the fever spikes every second day. Yes, I was on a business trip to a tropical region.",malaria
"I have acne on my chest, and it’s making me self-conscious. No, I’ve only been using regular soap. How often should I use it?",acne
"I’ve been having trouble breathing and coughing a lot. Yes, I was around some smoke.",allergy
"I’ve had a fever for the past few days and feel really weak. Yes, my muscles and joints are aching a lot. Yes, I’ve developed a rash, and I had a nosebleed this morning.",dengue
"I’ve been urinating a lot more than usual, even during the night. Could it be diabetes? Yes, I’ve been drinking a lot more water lately. I’ll make an appointment soon. Thanks for your help!",diabetes
"My legs feel heavy, and I can see swollen veins. About three months now. Yes, they hurt after a long day of standing. Yes, my aunt has them.",varicose veins
"I’ve had a cough for over a week, and now it’s getting harder to breathe. Yes, I have mild chest pain and a low-grade fever. What will the doctor do for me?",pneumonia
"I’m constantly feeling hungry, no matter how much I eat. Could this be diabetes? Yes, I’ve been drinking a lot more water and feeling tired all the time. I’ll schedule an appointment right away. Thanks!",diabetes
I’m having trouble breathing and wheezing. I’m allergic to dust.,allergy
"I’ve been feeling unusually thirsty all the time. Even after drinking a lot of water, I still feel dry. Yes, I’ve been waking up several times during the night to use the bathroom. Actually, I have lost some weight recently, and I’m feeling more tired than usual. I’ll book an appointment with my doctor right away. Thanks!",diabetes
"I’ve been noticing swollen veins on my legs. On my calves and thighs. Yes, they’re swollen and sometimes sore. About three months. Yes, my mother has them.",varicose veins
"I’ve had a cold for almost a week, and now I have a cough that just won’t go away. It’s mostly dry, but there’s some mucus towards the end of the day. How long will this last? Can I continue exercising?",common cold
"I’ve had a cold, but now it feels like I’m getting worse. Yes, I have a fever, and my chest feels tight when I try to breathe deeply. How will the doctor treat me?",pneumonia
"My skin has some red sores that have turned into blisters. Yes, they are. Yes, mostly around my nose.",impetigo
"I have some sores on my face that are crusting over. Yes, they’re yellow and itchy.",impetigo
"I often have a sore throat, especially in the mornings. Yes, I get heartburn sometimes. I’ll give that a try. Thanks!",gastroesophageal reflux disease
My doctor said I need to cut down on salt. Why is that important for my blood pressure? I didn’t realize salt had that effect. I’ll try to be more mindful of my salt consumption.,hypertension
"My eyes look yellow, and I feel very tired. It started five days ago. I also feel nauseous and lost my appetite. I had a slight fever last week, and my stomach feels bloated.",jaundice
"I feel like I have a lump in my throat after eating. Yes, I often get heartburn. I’ll try that. Thanks!",gastroesophageal reflux disease
"I’m feeling a lot more tired than usual, even after a full night’s sleep. Could it be related to diabetes? It’s pretty constant, but worse in the afternoons. I’ll do that. Thanks for your help.",diabetes
"My ears feel blocked, and I can’t hear properly. Yes, my nose has been stuffed up for days. What can I do about it?",common cold
"My back has been hurting a lot, especially in the lower part. It’s mostly in my lower back, but sometimes I feel a sharp pain down my leg. What treatments can help with this kind of pain?",arthritis
"I have a high fever, and my muscles are sore. Yes, both my eyes and joints hurt. Yes, I have a rash, and I’ve had a few nosebleeds.",dengue
"I’ve been using a rescue inhaler for my asthma attacks, but I feel like it doesn’t always work. What should I do? I’m using it several times a week. Should I try a different type of inhaler?",bronchial asthma
"I’ve been having fever and muscle aches for the past few days. Yes, both my eyes and joints hurt a lot. Yes, I’ve developed a rash, and my nose is bleeding.",dengue
"There’s a round red patch on my arm that keeps growing. Yes, it’s itchy and has a rough, raised edge. My cat had a similar patch a while ago, but we treated it. No, I try to keep my things separate.",fungal infection
My blood pressure is sometimes normal but sometimes high. What could be causing the fluctuations? I’ll keep a log of my readings.,hypertension
"I’ve noticed that my skin feels really dry and itchy lately. Could it be a symptom of diabetes? Yes, I’ve been feeling thirstier than usual. I’ll book an appointment today. Thanks!",diabetes
"My hips have been hurting, especially when I walk or climb stairs. It comes and goes, but it’s worse after I’ve been walking or standing for a while. Yes, my hips feel stiff in the mornings.",arthritis
"I’ve been feeling really hungry, even after eating meals. Could that be a sign of diabetes? I’ve definitely been feeling more thirsty and tired lately. I’ll do that. Thanks for the advice!",diabetes
I feel like I’m gaining weight after starting a new medication. It’s an antidepressant. I’ll talk to my doctor about it. Thanks!,drug reaction
"I’ve been noticing more coughing lately, but I’m not sure if it’s asthma or something else. Yes, I do. I’ve also been feeling a tightness in my chest. Should I be using my inhaler more frequently?",bronchial asthma
"My legs have been swelling up ever since I started my blood pressure medication. It gets better when I rest, but it returns when I’m up and moving around. I’ll call them today. Thanks for the help.",drug reaction
"I’ve noticed some twisted veins on my legs. About three months now. Yes, they hurt after standing for a long time. Yes, my grandmother had them.",varicose veins
I have trouble turning my head because of pain in my neck. Is that a sign of cervical spondylosis? It’s been getting harder to turn my head to the left. I’ll check with my doctor.,cervical spondylosis
I’ve been getting migraines frequently. Is there anything I can do to prevent them? I think stress is a big trigger for me. I’ll try incorporating more relaxation techniques.,migraine
"I’ve been feeling feverish and nauseous. Yes, I have stomach cramps and diarrhea. Yes, I visited India recently.",typhoid
"I get a burning sensation in my chest every time I eat. Yes, it’s worse with spicy and citrus foods. I’ll work on that. Thanks for the help!",gastroesophageal reflux disease
"I’ve been dealing with hemorrhoids for a while, and now they seem to be bleeding more often. Yes, there’s some swelling and my stool has been a bit harder lately. How can I prevent them from getting worse?",dimorphic hemorrhoids
"I’ve been feeling feverish and tired with some chills and sweating. It started four days ago, and it seems to come back every other day. Yes, I’m really tired and have trouble getting out of bed. Yes, I traveled to a tropical area last month.",malaria
"I have bumps on my skin that are turning into blisters. Yes, I have a fever and feel exhausted.",chicken pox
I’ve heard exercise is good for asthma. Is that true? Are there any types of exercise I should avoid? I’ll stick to swimming.,bronchial asthma
"I have a sudden fever and feel really weak. Yes, my muscles and joints are aching a lot. Yes, I have a rash and had a small nosebleed.",dengue
"I’ve been feeling really weak and feverish. For about a week now. Yes, I’ve had abdominal pain and diarrhea. Yes, I traveled to India last month.",typhoid
"I have some painful blisters that are leaking yellow fluid. Yes, they’re starting to form a crust.",impetigo
"I’ve been feeling very breathless at work, especially when I'm running around. Could it be asthma? Yes, I do. I also feel tightness in my chest. I’ll definitely do that.",bronchial asthma
